,dataset,sample_idx,length,rotation,curve_x,curve_y,beak_radius_start
176,58,M,2.125,0.0,-0.5,0.0,1.5
177,59,A,3.75,0.0,0.0,0.0,1.5
178,59,B,0.5,0.0,-1.0,0.0,2.5
179,59,M,2.125,0.0,-0.5,0.0,2.0
180,60,A,3.75,0.0,0.0,0.0,1.5
181,60,B,0.5,0.0,-1.0,1.0,0.5
182,60,M,2.125,0.0,-0.5,0.5,1.0
183,61,A,3.75,0.0,0.0,0.0,1.5
184,61,B,0.5,0.0,-1.0,1.0,1.5
185,61,M,2.125,0.0,-0.5,0.5,1.5
186,62,A,3.75,0.0,0.0,0.0,1.5
187,62,B,0.5,0.0,-1.0,1.0,2.5
188,62,M,2.125,0.0,-0.5,0.5,2.0
189,63,A,3.75,0.0,0.0,0.0,1.5
190,63,B,0.5,0.0,0.0,-1.0,0.5
191,63,M,2.125,0.0,0.0,-0.5,1.0
192,64,A,3.75,0.0,0.0,0.0,1.5
193,64,B,0.5,0.0,0.0,-1.0,1.5
194,64,M,2.125,0.0,0.0,-0.5,1.5
195,65,A,3.75,0.0,0.0,0.0,1.5
196,65,B,0.5,0.0,0.0,-1.0,2.5
197,65,M,2.125,0.0,0.0,-0.5,2.0
198,66,A,3.75,0.0,0.0,0.0,1.5
199,66,B,0.5,0.0,0.0,0.0,0.5
200,66,M,2.125,0.0,0.0,0.0,1.0
201,67,A,3.75,0.0,0.0,0.0,1.5
202,67,B,0.5,0.0,0.0,0.0,1.5
203,67,M,2.125,0.0,0.0,0.0,1.5
204,68,A,3.75,0.0,0.0,0.0,1.5
205,68,B,0.5,0.0,0.0,0.0,2.5
206,68,M,2.125,0.0,0.0,0.0,2.0
207,69,A,3.75,0.0,0.0,0.0,1.5
208,69,B,0.5,0.0,0.0,1.0,0.5
209,69,M,2.125,0.0,0.0,0.5,1.0
210,70,A,3.75,0.0,0.0,0.0,1.5
211,70,B,0.5,0.0,0.0,1.0,1.5
212,70,M,2.125,0.0,0.0,0.5,1.5
213,71,A,3.75,0.0,0.0,0.0,1.5
214,71,B,0.5,0.0,0.0,1.0,2.5
215,71,M,2.125,0.0,0.0,0.5,2.0
216,72,A,3.75,0.0,0.0,0.0,1.5
217,72,B,0.5,0.0,1.0,-1.0,0.5
218,72,M,2.125,0.0,0.5,-0.5,1.0
219,73,A,3.75,0.0,0.0,0.0,1.5
220,73,B,0.5,0.0,1.0,-1.0,1.5
221,73,M,2.125,0.0,0.5,-0.5,1.5
222,74,A,3.75,0.0,0.0,0.0,1.5
223,74,B,0.5,0.0,1.0,-1.0,2.5
224,74,M,2.125,0.0,0.5,-0.5,2.0
225,75,A,3.75,0.0,0.0,0.0,1.5
226,75,B,0.5,0.0,1.0,0.0,0.5
227,75,M,2.125,0.0,0.5,0.0,1.0
228,76,A,3.75,0.0,0.0,0.0,1.5
229,76,B,0.5,0.0,1.0,0.0,1.5
230,76,M,2.125,0.0,0.5,0.0,1.5
231,77,A,3.75,0.0,0.0,0.0,1.5
232,77,B,0.5,0.0,1.0,0.0,2.5
233,77,M,2.125,0.0,0.5,0.0,2.0
234,78,A,3.75,0.0,0.0,0.0,1.5
235,78,B,0.5,0.0,1.0,1.0,0.5
236,78,M,2.125,0.0,0.5,0.5,1.0
237,79,A,3.75,0.0,0.0,0.0,1.5
238,79,B,0.5,0.0,1.0,1.0,1.5
239,79,M,2.125,0.0,0.5,0.5,1.5
240,80,A,3.75,0.0,0.0,0.0,1.5
241,80,B,0.5,0.0,1.0,1.0,2.5
242,80,M,2.125,0.0,0.5,0.5,2.0
243,81,A,3.75,0.0,0.0,0.0,1.5
244,81,B,0.5,3.141592653589793,-1.0,-1.0,0.5
245,81,M,2.125,1.5707963267948966,-0.5,-0.5,1.0
246,82,A,3.75,0.0,0.0,0.0,1.5
247,82,B,0.5,3.141592653589793,-1.0,-1.0,1.5
248,82,M,2.125,1.5707963267948966,-0.5,-0.5,1.5
249,83,A,3.75,0.0,0.0,0.0,1.5
250,83,B,0.5,3.141592653589793,-1.0,-1.0,2.5
251,83,M,2.125,1.5707963267948966,-0.5,-0.5,2.0
252,84,A,3.75,0.0,0.0,0.0,1.5
253,84,B,0.5,3.141592653589793,-1.0,0.0,0.5
254,84,M,2.125,1.5707963267948966,-0.5,0.0,1.0
255,85,A,3.75,0.0,0.0,0.0,1.5
256,85,B,0.5,3.141592653589793,-1.0,0.0,1.5
257,85,M,2.125,1.5707963267948966,-0.5,0.0,1.5
258,86,A,3.75,0.0,0.0,0.0,1.5
259,86,B,0.5,3.141592653589793,-1.0,0.0,2.5
260,86,M,2.125,1.5707963267948966,-0.5,0.0,2.0
261,87,A,3.75,0.0,0.0,0.0,1.5
262,87,B,0.5,3.141592653589793,-1.0,1.0,0.5
263,87,M,2.125,1.5707963267948966,-0.5,0.5,1.0
264,88,A,3.75,0.0,0.0,0.0,1.5
265,88,B,0.5,3.141592653589793,-1.0,1.0,1.5
266,88,M,2.125,1.5707963267948966,-0.5,0.5,1.5
267,89,A,3.75,0.0,0.0,0.0,1.5
268,89,B,0.5,3.141592653589793,-1.0,1.0,2.5
269,89,M,2.125,1.5707963267948966,-0.5,0.5,2.0
270,90,A,3.75,0.0,0.0,0.0,1.5
271,90,B,0.5,3.141592653589793,0.0,-1.0,0.5
272,90,M,2.125,1.5707963267948966,0.0,-0.5,1.0
273,91,A,3.75,0.0,0.0,0.0,1.5
274,91,B,0.5,3.141592653589793,0.0,-1.0,1.5
275,91,M,2.125,1.5707963267948966,0.0,-0.5,1.5
276,92,A,3.75,0.0,0.0,0.0,1.5
277,92,B,0.5,3.141592653589793,0.0,-1.0,2.5
278,92,M,2.125,1.5707963267948966,0.0,-0.5,2.0
279,93,A,3.75,0.0,0.0,0.0,1.5
280,93,B,0.5,3.141592653589793,0.0,0.0,0.5
281,93,M,2.125,1.5707963267948966,0.0,0.0,1.0
282,94,A,3.75,0.0,0.0,0.0,1.5
